"Date","Price","Open","High","Low","Vol.","Change %"
"29/07/2025","195.75","192.43","195.92","192.08","41.39M","1.65%"
"28/07/2025","192.58","193.65","194.05","190.84","38.14M","-0.31%"
"25/07/2025","193.18","191.98","194.33","191.26","39.79M","0.53%"
"24/07/2025","192.17","197.03","197.95","191.00","74.88M","1.02%"
"23/07/2025","190.23","191.50","192.53","189.18","58.68M","-0.58%"
"22/07/2025","191.34","191.49","191.65","187.46","44.66M","0.65%"
"21/07/2025","190.10","186.25","190.29","186.15","45.80M","2.72%"
"18/07/2025","185.06","185.40","186.42","183.71","34.01M","0.81%"
"17/07/2025","183.58","182.14","184.06","180.48","31.99M","0.33%"
"16/07/2025","182.97","183.24","184.33","182.03","33.10M","0.53%"
"15/07/2025","182.00","182.81","184.22","181.60","33.45M","0.24%"
"14/07/2025","181.56","181.01","183.67","179.68","32.54M","0.76%"
"11/07/2025","180.19","176.79","181.43","176.48","34.28M","1.45%"
"10/07/2025","177.62","175.63","178.43","174.38","29.25M","0.57%"
"09/07/2025","176.62","175.25","179.44","172.77","43.03M","1.30%"
"08/07/2025","174.36","177.85","177.95","172.81","40.44M","-1.37%"
"07/07/2025","176.79","179.06","179.30","175.68","34.18M","-1.53%"
"03/07/2025","179.53","178.50","179.67","177.05","21.69M","0.50%"
"02/07/2025","178.64","175.54","178.86","175.07","29.13M","1.59%"
"01/07/2025","175.84","175.74","176.09","173.53","35.90M","-0.22%"
"30/06/2025","176.23","180.78","181.23","174.58","63.38M","-1.29%"
"27/06/2025","178.53","173.54","178.68","171.73","108.14M","2.88%"
"26/06/2025","173.54","172.43","173.69","169.94","31.80M","1.68%"
"25/06/2025","170.68","167.63","172.36","167.55","35.48M","2.34%"
"24/06/2025","166.77","166.92","168.22","166.13","40.52M","0.96%"
"23/06/2025","165.19","166.27","167.34","162.00","57.67M","-0.87%"
"20/06/2025","166.64","173.95","174.34","165.46","75.66M","-3.85%"
"18/06/2025","173.32","176.01","176.56","173.20","28.71M","-1.49%"
"17/06/2025","175.95","175.70","177.36","174.58","24.97M","-0.46%"
"16/06/2025","176.77","174.73","176.94","174.65","27.39M","1.20%"
"13/06/2025","174.67","172.44","177.13","172.38","27.66M","-0.59%"
"12/06/2025","175.70","176.18","176.72","174.74","20.94M","-0.93%"
"11/06/2025","177.35","179.77","180.37","176.75","31.65M","-0.70%"
"10/06/2025","178.60","176.20","181.10","174.91","61.77M","1.43%"
"09/06/2025","176.09","174.54","176.47","174.37","28.94M","1.39%"
"06/06/2025","173.68","170.83","174.50","170.83","35.73M","3.25%"
"05/06/2025","168.21","170.34","170.93","167.59","36.44M","0.10%"
"04/06/2025","168.05","166.74","168.21","166.36","26.90M","1.13%"
"03/06/2025","166.18","167.49","168.48","165.28","45.08M","-1.69%"
"02/06/2025","169.03","167.84","169.87","167.39","38.61M","-1.58%"
"30/05/2025","171.74","171.35","172.21","167.44","52.64M","-0.07%"
"29/05/2025","171.86","174.00","174.42","170.63","29.37M","-0.29%"
"28/05/2025","172.36","173.16","175.26","171.91","34.78M","-0.31%"
"27/05/2025","172.90","170.16","173.17","170.00","38.00M","2.63%"
"23/05/2025","168.47","169.05","169.96","167.89","35.21M","-1.40%"
"22/05/2025","170.87","171.85","176.77","170.71","74.86M","1.37%"
"21/05/2025","168.56","163.69","173.14","163.56","73.42M","2.79%"
"20/05/2025","163.98","166.43","168.50","162.90","46.61M","-1.54%"
"19/05/2025","166.54","164.51","166.64","164.22","30.43M","0.21%"
"16/05/2025","166.19","167.73","169.35","165.62","42.85M","1.36%"
"15/05/2025","163.96","165.84","166.21","162.37","33.15M","-0.85%"
"14/05/2025","165.37","159.96","167.00","159.61","48.76M","3.66%"
"13/05/2025","159.53","158.79","160.57","156.16","42.38M","0.68%"
"12/05/2025","158.46","157.49","159.10","156.25","44.14M","3.74%"
"09/05/2025","152.75","154.17","155.05","152.20","32.44M","-0.99%"
"08/05/2025","154.28","155.00","155.93","152.90","57.50M","1.92%"
"07/05/2025","151.38","164.08","165.00","147.84","127.75M","-7.26%"
"06/05/2025","163.23","162.17","164.80","161.19","21.28M","-0.60%"
"05/05/2025","164.21","163.00","165.39","162.72","21.34M","0.11%"
"02/05/2025","164.03","163.40","164.97","161.87","25.72M","1.69%"
"01/05/2025","161.30","160.45","161.95","158.91","30.20M","1.57%"
"30/04/2025","158.80","157.98","159.27","155.40","34.98M","-0.85%"
"29/04/2025","160.16","160.32","160.74","157.52","26.81M","-0.28%"
"28/04/2025","160.61","162.43","163.15","158.60","29.75M","-0.83%"
"25/04/2025","161.96","165.07","166.10","161.04","56.03M","1.68%"
"24/04/2025","159.28","156.15","159.59","155.79","45.89M","2.53%"
"23/04/2025","155.35","155.61","157.52","153.81","31.13M","2.56%"
"22/04/2025","151.47","148.89","152.19","148.54","26.97M","2.57%"
"21/04/2025","147.67","148.88","148.95","146.10","26.05M","-2.31%"
"17/04/2025","151.16","154.29","154.68","148.50","33.05M","-1.42%"
"16/04/2025","153.33","153.10","155.89","151.51","28.19M","-1.91%"
"15/04/2025","156.31","159.13","159.65","155.21","27.55M","-1.74%"
"14/04/2025","159.07","159.99","161.72","157.56","30.33M","1.23%"
"11/04/2025","157.14","152.90","157.67","152.82","33.64M","2.83%"
"10/04/2025","152.82","156.54","157.72","149.93","48.02M","-3.71%"
"09/04/2025","158.71","144.41","159.55","143.90","70.41M","9.68%"
"08/04/2025","144.70","151.22","152.24","143.03","52.20M","-1.40%"
"07/04/2025","146.75","141.55","152.85","140.53","76.79M","0.79%"
"04/04/2025","145.60","148.01","151.07","145.38","62.26M","-3.40%"
"03/04/2025","150.72","151.11","152.78","150.39","46.88M","-4.02%"
"02/04/2025","157.04","155.15","158.41","154.70","25.04M","-0.02%"
"01/04/2025","157.07","153.62","158.10","153.62","30.67M","1.57%"
"31/03/2025","154.64","153.11","155.54","150.66","54.60M","0.20%"
"28/03/2025","154.33","160.49","161.82","153.63","48.67M","-4.88%"
"27/03/2025","162.24","164.63","165.42","162.00","24.51M","-1.71%"
"26/03/2025","165.06","169.00","169.61","164.84","28.94M","-3.22%"
"25/03/2025","170.56","168.98","170.63","168.32","24.17M","1.72%"
"24/03/2025","167.68","167.07","168.32","165.14","30.88M","2.25%"
"21/03/2025","163.99","161.21","164.24","160.89","36.63M","0.73%"
